years,TMAX,TMIN,t90,t95,t100
1947,55.56716417910449,40.41666666666666,0,0,0
1948,68.53260473588341,52.27650273224043,23,5,0
1949,70.22904109589041,54.16762557077626,29,9,0
1950,68.53310502283105,51.93744292237442,20,4,0
1951,69.36657534246575,52.18424657534246,25,7,0
1952,69.5076502732241,52.69289617486347,39,14,3
1953,70.69301369863011,53.80835616438353,33,8,0
1954,70.25054794520548,52.19356164383563,35,9,0
1955,69.12219178082196,52.08547945205481,30,5,0
1956,69.32199453551915,52.61106557377054,37,4,0
1957,69.7123287671233,53.307945205479406,38,7,0
1958,66.76922374429228,51.12292237442921,31,1,0
1959,69.9566210045662,53.375799086757965,31,4,0
1960,67.55418943533698,51.809562841530024,29,2,0
1961,68.22356164383558,52.20365296803658,29,0,0
1962,66.37378995433792,50.94191780821917,8,0,0
1963,66.78520547945205,49.761095890410935,17,1,0
1964,68.5696721311475,51.60587431693987,17,1,0
1965,68.20835616438353,50.69123287671232,16,0,0
1966,66.49155251141553,49.84931506849315,17,2,0
1967,66.5123287671233,49.52739726027397,2,0,0
1968,67.35314207650272,50.45309653916211,28,3,0
1969,66.12465753424658,51.00867579908676,16,0,0
1970,67.13013698630137,51.03972602739726,17,0,0
1971,67.98493150684932,52.378767123287666,10,0,0
1972,67.42281420765028,52.068989071038246,15,1,0
1973,68.94657534246575,52.35821917808219,19,0,0
1974,68.68812785388128,51.461643835616435,13,0,0
1975,69.31095890410957,52.48561643835617,22,1,0
1976,68.35382513661203,49.533469945355186,12,0,0
1977,68.6538812785388,51.115753424657534,30,12,1
1978,66.51301369863013,50.121232876712334,17,1,0
1979,67.91278538812784,50.94041095890412,14,1,0
1980,68.47586520947176,50.586748633879786,41,18,1
1981,67.813698630137,50.41278538812788,30,7,0
1982,68.30410958904108,51.63926940639266,18,0,0
1983,68.50410958904111,52.07671232876709,34,16,1
1984,68.7495446265938,52.2217668488161,17,1,0
1985,69.34840182648398,52.37534246575344,28,7,0
1986,69.19999999999997,52.365296803652924,37,11,0
1987,68.3634703196347,51.4639269406393,39,12,0
1988,67.82513661202185,50.34153005464482,32,4,0
1989,68.52420091324207,51.72328767123291,32,3,0
1990,72.16529680365292,53.86940639269403,25,8,0
1991,71.49406392694063,54.20958904109593,37,9,0
1992,68.32058287795991,52.07650273224038,21,7,1
1993,69.50228310502283,52.14611872146115,45,19,3
1994,70.74611872146124,52.73150684931512,42,8,0
1995,69.52420091324204,52.77716894977169,44,16,0
1996,66.93897996357012,50.53005464480874,13,1,0
1997,68.04634703196346,50.52077625570775,26,6,0
1998,69.51963470319636,53.90684931506852,19,3,0
1999,69.26027397260275,52.893150684931506,31,7,0
2000,67.69125683060109,51.703551912568315,20,1,0
2001,68.9890410958904,52.02511415525115,18,3,0
2002,70.02922374429224,53.34657534246581,38,8,0
2003,68.13310502283106,52.04086757990868,29,1,0
2004,68.94567395264116,51.43943533697632,15,1,0
2005,69.04068493150683,50.0350684931507,33,1,0
2006,71.1353424657534,49.327305936073024,35,8,2
2007,71.44525114155249,50.17433789954335,39,10,1
2008,70.79426229508194,50.73838797814209,28,9,0
2009,69.52890410958905,51.678219178082244,27,0,0
2010,70.09652968036525,50.73799086757992,55,16,2
2011,72.58589041095894,51.60360730593606,47,11,2
2012,71.57349726775959,52.3198087431694,35,8,0
2013,69.74977168949775,50.64452054794518,27,1,0
2014,69.69100456621003,49.80319634703198,24,4,0
2015,71.78073059360726,51.72666666666665,36,7,0
2016,71.67163023679414,52.073406193078306,47,13,0
2017,71.89872146118721,52.18694063926944,38,5,0
2018,71.18242009132423,51.858401826484005,43,2,0
2019,72.15582877959925,52.321448087431676,48,9,0
