years,TMAX,TMIN,t90,t95,t100
1947,69.01966950959488,38.270326936744844,0,0,0
1948,85.38497484604042,51.959070604562406,170,136,89
1949,84.29678843226792,52.91726027397261,163,123,85
1950,87.3887008045227,53.296275277234145,175,132,71
1951,84.44770711024138,53.142326592737554,152,122,86
1952,84.43460621042587,53.089878783936136,180,151,88
1953,85.98497499456406,51.80791476407917,154,123,95
1954,87.31564470537077,54.27678299630354,183,140,70
1955,84.6393998695368,52.19201021961298,156,124,63
1956,86.13212659380686,53.20921372191864,164,139,95
1957,84.30450532724501,55.749398782344045,145,121,83
1958,86.22729832572307,56.40337138508369,161,136,104
1959,85.98340943683405,55.70992389649923,169,123,80
1960,85.4422965998786,54.408811475409834,161,135,106
1961,85.35863883452922,54.34383235485978,165,126,77
1962,86.04313763861705,54.36810284844532,156,130,92
1963,85.62660855126613,54.66104884461049,171,127,81
1964,82.92538913727441,52.652450736876965,153,121,62
1965,83.76098450255991,53.7728421198284,157,130,68
1966,85.52631659056317,54.52256468797568,164,129,91
1967,84.87417047184171,54.189261796042615,154,118,81
1968,84.68806921675781,53.91229508196725,151,121,77
1969,84.4563103639131,54.90538812785383,148,132,99
1970,85.03725473917257,54.41271620312718,143,116,87
1971,84.2562861491628,53.114916286149175,152,106,79
1972,85.95706242755422,54.769923276480675,179,132,81
1973,85.00588349245878,53.76654766846546,170,142,103
1974,85.60881693648813,54.22612702366128,166,131,90
1975,84.48682440846828,52.18863152068634,153,130,94
1976,85.27037835418982,54.73694724370954,153,122,78
1977,86.44700478364862,55.88972602739725,164,126,94
1978,85.32357577734294,56.067840834964144,161,144,103
1979,85.68590454446624,54.49234072624482,173,133,93
1980,86.69460707780377,55.072729638303365,157,138,102
1981,87.95173515981732,57.21962165688196,167,133,97
1982,84.79329419439004,56.25118069145464,158,121,87
1983,84.94259621656883,57.020091324200955,141,123,102
1984,85.92181889149106,57.24128285193858,161,139,107
1985,85.98858447488584,57.231689497716864,167,131,90
1986,86.94858447488585,59.781689497716904,157,129,92
1987,85.95885844748858,58.73570776255705,178,148,99
1988,87.26862477231333,59.422723132969026,181,144,109
1989,88.89566210045662,59.61643835616438,188,160,120
1990,85.70091324200915,59.601826484018275,176,123,79
1991,85.71575342465755,58.58036529680365,163,140,94
1992,85.8030510018215,58.842896174863384,182,140,93
1993,85.86552511415523,57.886073059360726,158,133,103
1994,86.20114155251143,58.16027397260274,157,133,106
1995,87.21780821917808,59.06735159817352,155,128,97
1996,87.99089253187613,60.01935336976321,173,149,103
1997,85.96232876712328,59.59977168949771,180,142,91
1998,83.62442922374431,57.47557077625572,147,108,81
1999,86.39657534246577,58.72077625570777,165,130,76
2000,86.39139344262293,60.08948087431693,168,147,109
2001,86.40639269406395,60.76940639269408,177,152,118
2002,87.24616438356163,59.76123287671238,173,131,111
2003,87.17369863013704,60.333515981735154,165,148,112
2004,86.00040983606561,59.618852459016416,176,138,95
2005,86.79086757990869,60.47351598173513,161,138,95
2006,87.68794520547947,59.0987214611872,161,139,105
2007,87.43191780821921,60.33347031963474,182,146,99
2008,86.39571948998177,59.041211293260524,168,132,93
2009,87.20114155251143,59.50707762557077,168,141,101
2010,86.04589041095888,59.20228310502284,156,132,98
2011,86.60319634703195,58.31461187214612,166,145,98
2012,88.25091074681238,59.344717668488165,182,142,110
2013,86.74680365296804,59.10821917808221,166,131,98
2014,87.62808219178082,59.81872146118723,168,129,97
2015,87.17876712328768,60.606164383561634,160,134,101
2016,88.28779599271402,60.780282331511835,172,137,88
2017,88.85593607305937,60.95022831050227,185,147,106
2018,87.60753424657534,60.96027397260275,165,148,107
2019,85.45696721311478,59.72427140255008,148,126,94
