years,TMAX,TMIN,t90,t95,t100
1947,55.764925373134346,39.95373134328359,0,0,0
1948,68.6564305230289,52.239038511579494,26,6,0
1949,70.15737116764514,54.34101435094586,29,9,0
1950,68.48786692759299,52.070058708414955,23,3,0
1951,69.19603718199603,52.25701239399869,25,7,0
1952,69.63046448087432,52.930669398907106,38,14,3
1953,70.68493150684931,54.034148727984345,34,7,0
1954,70.07020547945207,52.31404109589041,34,11,0
1955,68.77876712328766,52.167563600782785,31,5,0
1956,68.96360265417643,52.58499219359874,37,3,0
1957,69.26878669275929,53.342808219178075,38,6,0
1958,66.50394107414652,51.11805827353771,32,1,0
1959,69.74094368340945,53.361605783866,30,3,0
1960,67.48041894353372,51.869459623557994,27,2,0
1961,67.99707001522063,52.044216133942136,27,0,0
1962,66.20266905849097,50.89394977168949,8,0,0
1963,66.64334637964775,49.875929549902175,14,1,0
1964,68.26735297944316,51.67388758782201,16,2,0
1965,67.59739073711678,50.73515981735157,10,0,0
1966,66.18003913894329,50.1531637312459,16,2,0
1967,66.25909980430524,49.826484018264864,4,0,0
1968,67.45075461878734,50.721181368722284,32,4,0
1969,66.27458577951732,50.92237442922376,16,0,0
1970,67.39726027397258,50.942270058708445,20,0,0
1971,68.2459360730594,52.12520547945211,9,0,0
1972,67.51357012750461,51.55027322404372,15,1,0
1973,69.14009132420088,51.95415525114155,19,0,0
1974,68.77872146118719,51.33716894977167,12,0,0
1975,69.30767123287667,52.077808219178074,19,2,0
1976,68.25947176684885,49.530601092896156,12,0,0
1977,68.76575342465756,51.344200913242005,33,12,1
1978,66.72831050228315,50.24968036529678,21,3,0
1979,67.77863013698625,50.852968036529674,15,1,0
1980,68.52085610200359,50.69389799635706,44,18,1
1981,67.60616438356165,50.48904109589043,29,7,0
1982,67.67191780821918,51.45616438356164,10,0,0
1983,68.43150684931507,52.446575342465756,36,20,2
1984,68.6653005464481,52.495901639344254,18,1,0
1985,69.21415525114155,52.48242009132421,26,7,0
1986,69.12968036529679,52.43675799086758,35,11,0
1987,68.21849315068494,51.55251141552511,39,9,0
1988,67.77390710382514,50.52527322404372,29,5,0
1989,68.27534246575343,51.66004566210045,31,3,0
1990,71.85890410958905,53.950684931506856,24,7,0
1991,71.03904109589044,53.87648401826485,37,10,0
1992,67.83060109289619,51.68374316939889,19,7,0
1993,69.26849315068493,52.09315068493151,44,15,3
1994,70.32191780821917,52.40068493150685,36,7,0
1995,69.01575342465753,52.38150684931509,39,11,0
1996,66.74617486338796,50.35623861566484,12,1,0
1997,67.89424657534249,50.339589041095905,27,7,0
1998,69.34520547945205,53.51369863013698,21,2,0
1999,68.77808219178083,51.89041095890411,31,5,0
2000,67.22677595628416,50.82285974499089,18,0,0
2001,68.76780821917808,51.60159817351598,18,3,0
2002,69.75977168949771,53.03561643835615,38,7,0
2003,68.01821917808219,51.957853881278545,30,1,0
2004,68.87695810564672,52.92049180327867,18,1,0
2005,68.61643835616434,52.42287671232878,31,1,1
2006,70.38159817351595,53.11694063926937,31,7,2
2007,70.86482713633397,52.86514024788002,39,10,1
2008,70.47509107468117,52.79025500910738,29,9,0
2009,69.19063926940639,52.61292237442925,27,0,0
2010,69.77703196347032,51.998082191780796,51,16,2
2011,72.20844748858444,53.096894977168944,44,10,2
2012,71.1183970856102,54.17600182149361,33,9,0
2013,69.43173515981736,52.266118721461204,30,1,0
2014,69.22342465753428,51.49438356164385,25,5,0
2015,71.47753424657533,53.832739726027405,37,6,0
2016,71.44567395264119,53.92855191256825,45,13,0
2017,71.57863013698629,53.73246575342474,35,5,0
2018,70.74150684931509,53.34360730593607,37,2,0
2019,71.65450819672137,53.75437158469946,46,7,0
