years,TMAX,TMIN,t90,t95,t100
1948,66.86776859504133,45.91460055096419,45,11,1
1949,66.04383561643836,46.02465753424657,33,10,3
1950,66.11780821917809,44.35616438356164,19,5,1
1951,64.32602739726028,44.57534246575342,33,13,5
1952,68.09016393442623,46.59836065573771,70,39,11
1953,69.65205479452055,48.28356164383562,71,34,11
1954,72.41643835616438,48.56849315068493,100,72,42
1955,68.85068493150685,46.38767123287671,67,30,3
1956,70.38661202185793,46.93715846994535,93,59,20
1957,65.31095890410958,46.46027397260274,47,29,7
1958,65.64931506849315,46.12465753424657,46,18,1
1959,66.45890410958904,45.62876712328767,43,10,4
1960,65.13387978142076,45.18715846994535,41,11,3
1961,64.95068493150686,44.74246575342466,34,13,2
1962,67.5095890410959,46.53972602739726,53,23,7
1963,68.77671232876712,46.967123287671235,65,32,8
1964,68.31967213114754,46.282786885245905,59,33,12
1965,68.14109589041095,46.820547945205476,39,15,1
1966,67.75068493150685,44.701369863013696,47,23,12
1967,66.96849315068494,45.1013698630137,36,7,2
1968,66.59562841530055,44.919398907103826,47,23,8
1969,63.81917808219178,45.657534246575345,44,19,8
1970,67.65890410958905,45.66438356164384,65,41,15
1971,66.88736263736264,44.63013698630137,53,18,5
1972,65.92054794520548,43.52732240437158,53,22,3
1973,66.54246575342465,45.30684931506849,55,26,10
1974,67.56712328767124,44.986301369863014,50,35,15
1975,66.86813186813187,43.8986301369863,55,27,3
1976,68.79234972677595,42.431693989071036,56,27,8
1977,69.71506849315068,46.90684931506849,51,26,10
1978,67.1972602739726,44.24931506849315,81,59,35
1979,66.17534246575343,43.25753424657534,62,31,3
1980,69.30054644808743,46.19125683060109,87,66,45
1981,69.13424657534246,46.84931506849315,52,29,11
1982,66.4,44.0986301369863,55,24,6
1983,64.07397260273973,44.443835616438356,65,41,11
1984,67.61475409836065,45.34153005464481,74,39,13
1985,65.72328767123288,44.76164383561644,54,29,15
1986,69.17534246575343,47.31232876712329,52,13,5
1987,68.43013698630136,46.57534246575342,52,20,6
1988,69.20218579234972,44.97267759562842,72,46,19
1989,67.13698630136986,43.76438356164383,37,7,1
1990,70.24383561643836,46.64657534246575,72,51,24
1991,70.07945205479452,47.3013698630137,71,40,18
1992,67.36065573770492,46.423497267759565,34,9,1
1993,64.96438356164384,45.0,51,21,7
1994,68.51780821917808,46.1972602739726,56,18,4
1995,66.86575342465754,44.92602739726028,53,15,3
1996,66.78142076502732,44.04234972677595,43,19,0
1997,66.1027397260274,44.91917808219178,41,9,0
1998,69.58082191780822,48.40958904109589,78,46,19
1999,68.9730593607306,47.205936073059355,48,19,8
2000,68.77049180327865,45.98907103825142,78,43,25
2001,70.00776255707763,46.53789954337902,65,37,26
2002,68.03196347031965,45.246118721461144,56,21,3
2003,67.76849315068492,45.08493150684932,51,32,14
2004,67.86065573770485,46.31375227686708,27,9,0
2005,69.19543378995434,46.475342465753414,54,20,3
2006,71.46484018264837,46.938812785388144,61,29,10
2007,67.86940639269407,46.37123287671232,42,11,3
2008,66.71174863387981,44.52049180327867,32,12,1
2009,67.1698630136986,44.59132420091323,38,15,1
2010,68.91141552511417,46.70479452054794,66,31,12
2011,70.45068493150686,45.68972602739726,85,68,37
2012,73.20673952641165,47.98793260473589,78,49,32
2013,66.84520547945205,44.11095890410959,52,18,5
2014,67.74931506849315,44.18698630136986,51,16,3
2015,69.76826484018264,46.974200913242015,50,20,0
2016,71.10701275045537,47.71835154826958,58,20,2
2017,70.24109589041096,47.165068493150685,47,14,3
2018,68.59178082191781,45.413698630136984,70,18,0
