years,TMAX,TMIN,t90,t95,t100
1947,66.96517412935323,52.40422885572139,0,0,0
1948,78.21010928961745,61.370765027322385,63,3,0
1949,79.12324200913248,62.46073059360734,61,3,0
1950,78.44721461187217,60.67214611872145,51,2,0
1951,79.29735159817352,60.64639269406389,90,20,0
1952,78.42486338797816,59.94353369763206,70,7,0
1953,78.73940639269404,61.451187214611906,76,9,0
1954,79.03684931506848,61.270776255707766,84,12,1
1955,78.8216894977169,61.77602739726027,56,2,0
1956,78.67814207650277,61.10300546448087,61,2,0
1957,78.3265753424657,62.128493150684946,56,3,0
1958,75.91415525114155,59.41552511415525,52,0,0
1959,76.85753424657534,60.62876712328767,47,0,0
1960,77.39207650273224,59.362021857923494,78,11,0
1961,76.7595890410959,59.26027397260274,23,0,0
1962,78.16529680365305,59.552511415525146,73,6,0
1963,77.19817351598167,58.89863013698624,61,1,0
1964,77.18533697632061,58.5505464480874,64,3,0
1965,77.23242009132416,58.98264840182647,21,0,0
1966,75.70662100456626,58.64132420091329,30,1,0
1967,77.24748858447488,59.186301369863045,36,1,0
1968,75.25683060109286,56.75591985428051,25,0,0
1969,76.77077625570774,58.85022831050227,49,5,0
1970,76.73515981735166,58.84200913242007,44,2,0
1971,78.67716894977163,60.59429223744296,41,2,0
1972,78.4476320582878,60.017304189435315,52,2,0
1973,78.0689497716895,61.18767123287671,48,2,1
1974,78.82397260273973,61.18835616438356,57,1,0
1975,77.56210045662101,61.166894977168965,37,0,0
1976,77.0453096539162,57.80601092896175,51,3,0
1977,78.45205479452055,61.08333333333333,94,17,0
1978,78.12054794520547,59.92739726027397,94,3,0
1979,77.28310502283112,59.10799086757992,70,4,0
1980,79.53825136612019,60.66939890710373,110,47,5
1981,79.07876712328768,60.070547945205476,86,21,1
1982,78.96986301369863,60.986301369863014,76,1,0
1983,76.0068493150685,58.4486301369863,44,0,0
1984,77.45628415300547,59.553734061930776,26,0,0
1985,77.66438356164382,59.915525114155265,54,0,0
1986,78.70570776255707,60.358219178082194,90,6,1
1987,77.863698630137,59.08949771689493,59,6,0
1988,77.60428051001821,58.963570127504575,64,2,0
1989,78.06232876712329,59.24543378995433,62,5,0
1990,80.03835616438356,60.64155251141555,104,21,0
1991,78.21643835616439,61.65319634703196,77,6,0
1992,77.51748633879781,59.89644808743168,62,3,0
1993,77.74164383561644,59.63232876712333,86,8,0
1994,78.66178082191783,60.61479452054794,65,0,0
1995,78.89643835616441,60.75191780821918,90,19,0
1996,78.170218579235,59.87349726775958,71,1,0
1997,77.43547945205479,60.567442922374475,78,3,0
1998,79.45132420091322,62.62945205479449,97,23,0
1999,80.267899543379,61.88602739726026,78,14,0
2000,79.9762295081967,61.2178506375228,96,29,0
2001,78.72662100456617,61.12269406392692,58,0,0
2002,78.39552511415526,62.03506849315063,68,4,0
2003,77.91114155251144,61.55575342465752,54,0,0
2004,78.07340619307836,61.98597449908926,56,2,0
2005,79.15794520547944,62.21525114155252,92,6,0
2006,80.20118721461185,62.301369863013676,95,12,0
2007,78.76410958904113,62.190228310502285,71,9,1
2008,78.25696721311476,61.07613843351552,67,2,0
2009,78.78726027397263,61.89278538812785,75,16,0
2010,77.51013698630136,60.154246575342455,98,13,0
2011,79.6847488584475,61.83726027397262,96,38,0
2012,80.41243169398913,63.60250455373403,72,9,0
2013,77.75621004566209,61.81187214611873,65,3,0
2014,77.55867579908673,60.20826484018265,69,2,0
2015,79.83369863013701,63.74575342465754,82,19,0
2016,79.79685792349726,63.796721311475366,85,6,0
2017,79.48173515981735,63.367123287671255,42,1,0
2018,79.5187671232877,63.144657534246534,96,8,0
