years,TMAX,TMIN,t90,t95,t100
1947,72.71641791044776,52.223880597014926,2,0,0
1948,84.99180327868852,62.612021857923494,157,110,65
1949,84.72876712328767,63.61095890410959,158,110,42
1950,87.63013698630137,64.42465753424658,183,121,39
1951,86.40273972602739,63.32876712328767,160,113,52
1952,85.6775956284153,62.622950819672134,153,99,37
1953,86.84657534246575,63.608219178082194,167,124,80
1954,87.01643835616439,63.96986301369863,168,113,36
1955,86.1972602739726,63.42191780821918,183,119,34
1956,86.94535519125684,63.177595628415304,181,124,51
1957,85.64931506849315,63.88767123287671,152,114,72
1958,82.44657534246575,61.73150684931507,136,100,47
1959,84.86301369863014,61.772602739726025,173,140,59
1960,84.1311475409836,62.095628415300546,170,116,45
1961,83.58493150684932,61.96986301369863,154,95,6
1962,85.84520547945205,62.6013698630137,175,121,57
1963,84.52876712328766,62.271232876712325,176,117,49
1964,84.1379781420765,62.18306010928962,154,103,34
1965,84.51255707762559,63.67054794520548,156,112,33
1966,82.81780821917808,61.617351598173535,141,85,22
1967,83.72374429223743,62.21963470319631,145,87,46
1968,81.48087431693989,60.86657559198546,123,58,6
1969,84.14703196347035,63.04520547945204,145,88,44
1970,82.35616438356166,61.429223744292244,130,80,15
1971,83.64383561643835,63.21232876712329,124,59,3
1972,81.08904109589041,62.706849315068496,90,18,0
1973,83.17945205479452,60.56986301369863,137,60,10
1974,84.76438356164384,60.9972602739726,153,100,31
1975,85.42739726027398,61.657534246575345,160,73,8
1976,82.10382513661202,60.04109589041096,118,66,4
1977,84.53150684931506,61.92328767123288,141,113,43
1978,84.19315068493151,61.385989010989015,150,117,59
1979,83.59726027397261,61.342465753424655,149,98,43
1980,84.99863387978142,62.50136612021858,159,126,64
1981,82.71369863013699,62.536986301369865,138,66,10
1982,83.77671232876712,62.608219178082194,154,108,60
1983,83.99178082191781,61.273972602739725,161,108,40
1984,85.73087431693989,62.83606557377049,173,123,66
1985,83.46712328767123,62.415068493150685,158,99,55
1986,84.86438356164383,63.16438356164384,162,115,41
1987,83.77534246575343,61.156164383561645,141,89,35
1988,85.81284153005464,61.94125683060109,179,118,58
1989,84.75616438356164,61.63972602739726,171,131,58
1990,85.95068493150686,64.11369863013698,157,107,59
1991,86.44520547945206,62.793150684931504,181,122,75
1992,85.27322404371584,61.759562841530055,155,104,77
1993,86.23287671232876,61.83561643835616,174,126,70
1994,87.58082191780822,63.397260273972606,183,126,74
1995,86.72054794520548,62.51780821917808,177,141,77
1996,87.71584699453553,61.67213114754098,184,139,81
1997,85.34794520547945,60.95342465753425,161,128,81
1998,89.33698630136986,64.02191780821917,178,147,106
1999,89.13972602739726,63.536986301369865,190,135,77
2000,86.6311475409836,64.46448087431693,176,140,72
2001,85.61643835616438,63.93150684931507,163,115,66
2002,85.58356164383562,63.728767123287675,171,113,35
2003,84.65205479452055,63.47397260273973,144,105,40
2004,84.33333333333333,64.02185792349727,146,86,23
2005,86.73972602739725,64.02465753424657,172,131,73
2006,87.52054794520548,64.65753424657534,180,128,44
2007,83.73698630136987,62.632876712328766,143,49,3
2008,85.62295081967213,62.459016393442624,144,95,22
2009,86.72876712328767,63.136986301369866,167,122,82
2010,85.21095890410959,62.47123287671233,156,93,37
2011,89.02465753424657,64.34520547945205,205,163,109
2012,88.14890710382514,65.8811475409836,190,138,84
2013,85.56027397260274,63.8054794520548,172,109,55
2014,85.21095890410959,63.413698630136984,173,118,68
2015,84.71369863013699,63.83835616438356,157,103,56
2016,87.22267759562841,65.35655737704919,176,120,56
2017,87.53287671232877,65.02328767123288,176,110,65
2018,85.73972602739725,63.97808219178082,164,117,85
