years,TMAX,TMIN,t90,t95,t100
1947,61.11940298507463,41.649253731343286,0,0,0
1948,76.55145719489985,54.873406193078324,104,64,18
1949,76.1312785388128,55.272831050228305,94,45,6
1950,76.38424657534246,55.12397260273973,70,26,0
1951,78.40456621004567,55.548630136986304,114,79,35
1952,78.53551912568302,56.3319672131148,122,84,36
1953,78.00410958904105,56.18356164383564,115,68,21
1954,79.97534246575341,57.03744292237445,124,98,46
1955,77.96575342465756,55.90091324200908,110,40,7
1956,79.40346083788701,56.69034608378867,132,92,38
1957,75.02283105022836,56.0328767123288,93,58,21
1958,74.52602739726035,55.21643835616436,96,62,14
1959,75.41095890410962,54.837899543378995,86,36,3
1960,75.25318761384338,55.17122040072858,109,50,5
1961,75.07397260273974,54.951598173516025,83,23,1
1962,76.48310502283103,55.925114155251144,86,44,12
1963,78.37077625570777,55.89041095890411,124,81,29
1964,76.7431693989071,55.33151183970854,92,69,24
1965,76.79360730593599,56.515981735159826,101,61,12
1966,75.0716894977169,54.715981735159815,79,29,2
1967,78.06301369863014,55.76164383561644,83,44,14
1968,74.48224043715847,53.830601092896174,67,21,2
1969,76.30410958904109,54.73424657534247,93,61,27
1970,75.97397260273972,54.728767123287675,87,47,18
1971,76.55479452054794,54.64246575342466,70,27,8
1972,77.02459016393442,54.70355191256831,106,41,7
1973,75.1013698630137,54.93972602739726,67,13,0
1974,76.80684931506849,55.83561643835616,74,43,10
1975,76.53150684931506,55.15890410958904,94,34,1
1976,75.61065573770492,53.73497267759563,75,32,2
1977,78.07534246575342,56.06164383561644,122,84,14
1978,76.15479452054795,54.726027397260275,113,77,37
1979,74.95616438356164,53.989041095890414,100,56,4
1980,78.68579234972678,55.95628415300546,121,97,60
1981,76.59726027397261,55.794520547945204,96,47,8
1982,76.25068493150685,55.987671232876714,102,42,10
1983,74.08904109589041,54.154794520547945,78,40,6
1984,76.5792349726776,55.368852459016395,101,64,14
1985,75.33287671232877,55.26712328767123,97,58,19
1986,76.42191780821918,56.632876712328766,90,31,11
1987,77.2931506849315,55.62602739726027,96,48,21
1988,78.26775956284153,55.506830601092894,103,75,21
1989,75.47534246575343,54.43013698630137,80,33,1
1990,78.06575342465754,56.26210045662095,103,65,15
1991,76.59223744292237,54.264840182648406,90,35,0
1992,75.99617486338792,53.787795992714045,76,21,0
1993,75.53369863013694,53.897260273972634,103,58,22
1994,76.30155251141551,54.38922374429222,91,47,5
1995,76.70621004566208,54.1187214611872,82,45,10
1996,77.47490892531877,54.00915300546445,93,46,10
1997,74.84200913242006,54.277488584474874,94,45,1
1998,78.59427266797128,57.83288975864319,125,97,54
1999,79.05852576647096,56.88431833007181,97,54,26
2000,77.10468384074947,56.30644028103047,106,63,36
2001,75.65620352250491,55.641761252446166,76,49,8
2002,75.4192563600783,54.67788649706457,86,36,0
2003,75.67416829745599,54.750280495759974,72,42,7
2004,75.01705698672912,55.56200884725474,56,8,0
2005,78.07307240704502,56.3259947814742,116,68,7
2006,79.90614807566858,57.31525440313113,116,63,37
2007,75.80642530984997,56.06818330071755,68,15,4
2008,78.11723913609161,54.963023679417084,105,59,12
2009,76.9339008480104,55.4722765818656,90,53,18
2010,76.99126223091974,55.94786366601438,106,65,21
2011,79.56592954990217,56.93575016307894,123,101,67
2012,79.85495706479314,57.69893312516263,118,64,30
2013,76.23366275277233,54.64963144161772,97,60,21
2014,76.76252446183952,55.251598173515966,94,45,10
2015,77.2978277886497,57.475176125244616,114,57,11
2016,78.63396109810044,58.52968058808221,103,55,11
2017,79.01453033268106,58.24380300065233,90,27,1
2018,76.71813437703854,56.49391715590343,102,74,15
