years,TMAX,TMIN,t90,t95,t100
1947,57.161691542288544,37.78109452736319,0,0,0
1948,72.67472677595632,50.85541894353372,46,21,1
1949,72.98675799086756,51.97168949771689,36,7,0
1950,72.54684931506853,50.60100456621007,30,7,0
1951,73.11191780821919,50.03465753424658,64,21,0
1952,73.36092896174867,49.87677595628413,60,21,9
1953,73.9517808219178,49.97109589041093,59,17,0
1954,73.93726027397261,49.637260273972636,80,33,4
1955,73.08260273972608,49.83041095890412,51,9,0
1956,73.35050091074677,50.25286885245902,66,16,1
1957,72.59246575342463,50.9193150684932,53,18,0
1958,70.60493150684934,48.42712328767121,42,4,0
1959,72.80465753424663,50.34986301369863,43,8,1
1960,71.11448087431694,48.21571038251366,50,3,0
1961,71.81205479452058,48.64356164383561,33,0,0
1962,71.57849315068496,48.86232876712326,53,7,0
1963,71.34607305936076,47.762146118721446,36,2,0
1964,71.45478142076497,49.25286885245902,21,3,0
1965,72.10945205479455,49.83849315068495,23,1,0
1966,70.47342465753425,47.93205479452056,40,8,0
1967,70.95890410958903,47.86712328767121,9,0,0
1968,70.9677595628416,47.41584699453554,42,15,0
1969,70.16383561643842,47.806712328767155,36,7,0
1970,72.70589041095894,48.84433789954338,52,10,0
1971,71.55780821917809,49.44666666666667,16,0,0
1972,71.23005464480875,49.05892531876143,24,2,0
1973,71.93438356164377,49.670821917808254,28,0,0
1974,72.40863013698629,49.81013698630137,15,0,0
1975,72.28200913242011,50.445068493150686,28,3,0
1976,71.07431693989072,47.276639344262286,24,2,0
1977,72.08054794520547,49.47246575342468,61,24,4
1978,71.2061643835616,48.6378082191781,39,4,0
1979,70.73205479452051,48.59945205479451,22,2,0
1980,71.60259562841534,48.80273224043722,65,24,2
1981,71.20410958904105,47.696027397260245,36,5,0
1982,71.23999999999998,49.84931506849319,17,0,0
1983,71.07835616438354,48.25479452054798,58,26,8
1984,72.00491803278692,48.84644808743168,31,2,0
1985,71.8782191780822,49.4141095890411,34,0,0
1986,72.70041095890416,51.055479452054804,61,22,4
1987,71.51315068493153,49.685753424657555,45,14,0
1988,71.13237704918035,47.92554644808747,51,15,2
1989,70.94753424657533,49.70452054794523,28,1,0
1990,74.53465753424653,52.1698630136986,46,8,0
1991,72.81876712328767,52.24972602739729,43,3,0
1992,70.52513661202185,50.65464480874318,27,6,0
1993,72.01602739726025,50.41657534246574,62,23,0
1994,71.66986301369862,50.577945205479494,11,0,0
1995,70.86863013698631,49.873424657534244,39,9,0
1996,70.17008196721315,49.196174863387945,25,2,0
1997,71.38767123287673,49.804931506849314,43,7,0
1998,73.91082191780826,52.315616438356145,64,11,0
1999,72.75500652315716,49.682762557077595,46,20,1
2000,71.44368006765548,48.601157949518615,35,5,0
2001,72.72808219178083,49.30978473581214,23,3,0
2002,72.36415525114155,50.396656881930845,62,19,0
2003,70.75301696020877,49.709888019134596,14,0,0
2004,71.80692167577409,50.24244839101398,31,0,0
2005,72.32336377473364,49.84402587519021,43,5,1
2006,73.29923135464223,49.76803652968035,47,6,0
2007,74.78627092846276,50.432694063926945,77,24,7
2008,72.23992865816635,49.25836369156043,51,17,1
2009,71.07589041095889,49.60572298325721,29,2,0
2010,72.50852359208518,49.29995433789962,81,23,0
2011,73.49576103500758,50.04350076103502,67,16,0
2012,74.12394505160894,50.91177465521727,42,13,3
2013,70.9117579908676,49.16802130898023,14,0,0
2014,71.36301369863008,48.15619482496195,31,0,0
2015,73.59558599695589,51.18840182648402,64,25,0
2016,74.33284760170008,51.42911353976928,77,19,0
2017,74.00833333333334,51.355631659056286,33,3,0
2018,72.86219178082189,51.325601217655986,61,6,0
