years,TMAX,TMIN,t90,t95,t100
1947,57.94925373134328,32.504477611940295,0,0,0
1948,75.70892531876136,45.37486338797815,103,72,23
1949,74.6966666666667,46.01374429223746,107,71,24
1950,78.21680365296805,47.703561643835606,95,61,30
1951,78.57839530332687,48.37466405740383,119,101,64
1952,79.25956284153011,49.9193078324226,144,105,68
1953,80.59168949771684,49.86388127853882,124,95,74
1954,81.83890410958901,51.34625570776253,149,109,57
1955,79.1258447488584,49.637214611872174,129,91,55
1956,81.3518214936248,49.504007285974524,141,120,75
1957,79.30401826484018,51.25082191780821,114,101,65
1958,81.47123287671229,52.12438356164384,150,113,82
1959,81.51424657534245,51.9446575342466,128,100,78
1960,80.6418032786886,51.37814207650273,143,118,88
1961,79.9141095890411,50.30109589041091,125,90,66
1962,81.07315068493146,50.314931506849334,132,110,77
1963,80.05753424657529,50.53342465753427,129,97,57
1964,78.96830601092894,49.319854280510015,136,101,53
1965,77.44844748858449,49.67762557077625,112,64,36
1966,79.67251141552507,50.737671232876714,134,101,57
1967,78.55643835616439,51.14465753424658,113,83,61
1968,78.86612021857924,50.532650273224014,114,88,51
1969,78.91780821917807,51.77561643835616,129,106,64
1970,79.0824657534247,50.93365296803651,116,88,60
1971,78.85365296803653,49.20547945205478,117,92,73
1972,80.22768670309654,50.4471766848816,122,85,54
1973,79.28287671232877,50.26689497716895,131,98,67
1974,80.136301369863,50.94223744292238,140,110,80
1975,78.97123287671234,49.08675799086758,135,101,55
1976,80.95605646630239,48.59426229508197,124,91,61
1977,80.789406392694,51.16579908675799,115,92,64
1978,78.61707762557079,51.453013698630144,132,103,57
1979,78.84899543378998,49.469360730593614,132,101,63
1980,77.72290528233152,49.609061930783255,112,76,36
1981,77.56949771689499,50.151004566210084,107,82,52
1982,73.28949771689501,47.14831050228312,83,44,21
1983,74.28091324200918,48.170228310502274,102,63,11
1984,73.56944444444441,47.688160291439,90,43,11
1985,75.76301369863012,47.95844748858444,94,77,41
1986,77.06191780821915,49.34557077625571,101,81,30
1987,75.22356164383561,47.6626484018265,103,65,19
1988,76.8632058287796,48.280601092896106,113,75,27
1989,78.47668623613829,49.70454011741681,117,69,39
1990,76.6267155903457,49.63563274624918,93,64,37
1991,75.42457599478146,48.26369863013699,101,54,19
1992,74.13936052563099,48.17229920201232,80,38,18
1993,73.61176886279621,46.54884757555991,91,43,7
1994,74.72328767123281,47.91600891498153,100,72,32
1995,74.92622309197654,47.692275494672764,90,55,24
1996,77.306606167057,49.76935011709604,110,76,32
1997,76.25048162644049,50.239422700587106,98,54,12
1998,72.1380922426128,47.0877522477522,65,45,15
1999,74.29129493033604,47.965290523783665,71,24,4
2000,74.32850294059315,48.68351312470167,103,63,19
2001,74.86876993630418,49.111562592658494,114,54,13
2002,73.75670603369237,47.76629302204647,90,45,15
2003,73.75958566547608,49.41408650710015,94,38,12
2004,72.85025723365892,48.638632235251094,85,40,6
2005,72.66109766945381,48.96149494341271,76,30,10
2006,74.09206948302838,49.182820512820506,104,59,14
2007,74.50746043910435,49.47631213535322,95,64,10
2008,72.41366093748566,47.74480248960118,83,55,6
2009,70.40288056669802,46.45214414849185,59,14,0
2010,69.39308641264728,46.923019697868625,66,20,2
2011,68.69579958853933,45.430930804355484,52,8,0
2012,70.5904631798075,47.61654306531358,44,7,0
2013,69.11568756585876,46.70080899693915,42,15,6
2014,71.27243326308394,48.873195218024,39,8,0
2015,71.06398145233766,49.086351217275876,53,16,2
2016,70.91797809051899,48.706995008634316,61,27,1
2017,71.26544049557745,48.74833636682947,55,19,2
2018,70.38289746782898,48.46820257368202,56,14,0
