years,TMAX,TMIN,t90,t95,t100
1947,49.43283582089552,31.388059701492537,0,0,0
1948,65.1256830601093,44.94535519125683,22,6,0
1949,67.05753424657534,46.93972602739726,24,0,0
1950,64.06575342465753,44.18904109589041,1,0,0
1951,65.52328767123288,44.536986301369865,30,4,0
1952,67.19125683060109,46.15300546448088,50,12,2
1953,68.33972602739726,46.56164383561644,51,23,1
1954,67.6,46.52602739726027,50,18,4
1955,66.0,45.71232876712329,29,0,0
1956,65.58743169398907,45.86338797814208,11,0,0
1957,65.72328767123288,46.07671232876712,29,3,0
1958,62.465753424657535,43.463013698630135,1,0,0
1959,66.21369863013699,46.347945205479455,22,0,0
1960,63.049180327868854,44.256830601092894,14,0,0
1961,64.07945205479452,45.013698630136986,3,0,0
1962,64.40273972602739,45.18356164383562,8,2,0
1963,64.2027397260274,43.512328767123286,1,0,0
1964,66.68032786885246,44.80054644808743,25,3,0
1965,64.92876712328767,44.794520547945204,11,3,0
1966,62.73150684931507,43.89041095890411,20,4,0
1967,64.17260273972603,45.12602739726027,3,0,0
1968,63.75409836065574,44.56284153005465,14,0,0
1969,64.24383561643836,45.156164383561645,14,0,0
1970,64.33150684931506,44.945205479452056,5,1,0
1971,65.88493150684931,45.55068493150685,8,0,0
1972,63.63661202185792,44.7896174863388,4,0,0
1973,66.21643835616439,47.21369863013699,10,0,0
1974,64.78082191780823,45.61917808219178,0,0,0
1975,65.30958904109589,46.534246575342465,16,0,0
1976,63.30874316939891,42.387978142076506,2,0,0
1977,65.56986301369864,46.1945205479452,15,0,0
1978,62.33972602739726,43.863013698630134,11,0,0
1979,62.797260273972604,44.21095890410959,3,0,0
1980,63.75409836065574,44.96448087431694,22,5,0
1981,63.78904109589041,44.67123287671233,1,0,0
1982,65.25479452054795,45.912328767123284,5,0,0
1983,64.88219178082191,46.24383561643835,46,9,3
1984,64.58196721311475,45.96448087431694,4,0,0
1985,63.9013698630137,45.42465753424658,5,0,0
1986,65.98356164383561,46.90958904109589,19,0,0
1987,67.05753424657534,46.64383561643836,28,1,0
1988,65.72404371584699,44.03551912568306,42,19,3
1989,63.92054794520548,44.706849315068496,8,0,0
1990,66.84109589041095,47.38356164383562,13,2,0
1991,66.8958904109589,47.865753424657534,20,1,0
1992,64.18306010928961,46.10382513661202,0,0,0
1993,64.53150684931506,45.66849315068493,26,3,0
1994,65.4986301369863,45.45753424657534,18,2,0
1995,64.92054794520548,45.1945205479452,25,2,0
1996,62.904371584699454,44.33606557377049,3,0,0
1997,63.01917808219178,44.367123287671234,11,1,0
1998,66.84657534246575,48.50958904109589,18,1,0
1999,67.33972602739726,46.14246575342466,39,5,1
2000,64.53005464480874,45.17213114754098,6,0,0
2001,66.23561643835616,46.558904109589044,5,0,0
2002,65.94794520547946,47.06027397260274,37,7,0
2003,63.3013698630137,45.327397260273976,4,0,0
2004,64.17896174863388,46.22267759562842,0,0,0
2005,65.74109589041096,46.38082191780822,32,7,0
2006,65.31643835616438,46.59315068493151,14,0,0
2007,67.23972602739725,47.175342465753424,27,6,1
2008,64.91256830601093,44.755464480874316,20,0,0
2009,63.363013698630134,45.62328767123287,1,0,0
2010,65.18493150684931,45.678082191780824,32,1,0
2011,65.16027397260274,46.83698630136986,19,2,0
2012,67.66803278688525,47.11748633879781,28,13,7
2013,63.90821917808219,45.53972602739726,4,0,0
2014,63.62054794520548,44.06575342465754,3,0,0
2015,65.64383561643835,46.295890410958904,6,0,0
2016,67.45218579234972,47.64344262295082,16,0,0
2017,66.97808219178083,47.57945205479452,4,0,0
2018,65.48904109589041,47.66575342465753,11,0,0
