years,TMAX,TMIN,t90,t95,t100
1947,60.08955223880597,37.74626865671642,0,0,0
1948,76.94262295081967,47.10928961748634,94,68,37
1949,77.59041095890412,47.59178082191781,114,72,34
1950,78.08630136986301,49.16575342465753,104,70,42
1951,77.7931506849315,46.604109589041094,111,77,33
1952,77.1653005464481,48.51229508196721,110,86,36
1953,76.66986301369863,47.721917808219175,84,61,37
1954,76.48630136986301,47.5986301369863,94,58,30
1955,75.84794520547945,46.891780821917806,91,63,37
1956,76.24180327868852,47.112021857923494,101,56,18
1957,75.56164383561644,48.21369863013699,97,68,37
1958,77.96712328767123,48.91917808219178,107,74,33
1959,79.12328767123287,48.11643835616438,100,68,39
1960,77.51366120218579,47.62021857923497,114,87,45
1961,76.67808219178082,47.016438356164386,103,74,48
1962,76.5013698630137,46.66438356164384,112,71,28
1963,74.3054794520548,48.032876712328765,87,60,24
1964,76.06284153005464,46.795081967213115,100,63,32
1965,75.2095890410959,47.49452054794521,97,49,17
1966,78.02054794520548,48.16027397260274,99,68,38
1967,76.54383561643836,48.64383561643836,115,97,54
1968,77.05874316939891,47.78415300546448,108,75,40
1969,76.45890410958904,47.52191780821918,108,71,30
1970,78.51506849315068,47.961643835616435,115,88,49
1971,75.63150684931507,46.31369863013698,108,76,44
1972,75.42213114754098,48.53415300546448,97,74,28
1973,75.95890410958904,48.35205479452055,103,64,37
1974,77.21369863013699,48.12054794520548,122,81,31
1975,74.97945205479452,45.74520547945205,109,54,19
1976,76.12841530054645,46.84153005464481,74,52,21
1977,77.23150684931507,49.276712328767125,98,72,32
1978,76.56712328767124,49.85342465753425,99,63,33
1979,78.0958904109589,49.795890410958904,119,71,41
1980,77.46311475409836,48.65300546448088,103,59,30
1981,78.02465753424657,50.43835616438356,121,96,48
1982,73.85068493150685,48.18493150684932,86,49,21
1983,75.51643835616439,50.35342465753425,94,63,28
1984,77.55737704918033,50.166666666666664,119,90,54
1985,75.71232876712328,48.4972602739726,99,73,42
1986,78.46438356164384,50.76164383561644,106,74,41
1987,77.59452054794521,49.535616438356165,112,73,25
1988,78.43306010928961,49.46857923497268,112,72,41
1989,77.34657534246575,48.69041095890411,102,64,25
1990,77.60684931506849,48.68219178082192,95,62,34
1991,77.36164383561643,49.363013698630134,121,67,22
1992,78.00273224043715,51.16530054644809,126,66,34
1993,76.82465753424657,49.44931506849315,94,59,19
1994,76.85616438356165,49.23287671232877,108,79,40
1995,77.4945205479452,51.23972602739726,100,63,28
1996,77.84562841530055,51.46311475409836,114,73,48
1997,77.96164383561644,51.37945205479452,113,66,16
1998,74.34246575342466,49.6,79,61,33
1999,76.47123287671234,49.31826484018264,103,49,13
2000,76.96402550091072,51.103369763205805,101,66,29
2001,78.36575342465754,51.723744292237434,119,80,38
2002,78.12922374429226,50.55114155251144,114,84,28
2003,78.43561643835615,51.44566210045662,120,88,45
2004,77.23633879781421,51.28324225865211,109,70,26
2005,77.45662100456622,51.4365296803653,91,64,39
2006,77.60776255707759,50.62876712328762,116,78,39
2007,78.35205479452057,50.75707762557073,113,70,31
2008,78.19307832422587,51.41757741347905,113,93,37
2009,77.90821917808216,50.8643835616438,113,85,41
2010,76.29634703196345,50.99863013698633,109,72,28
2011,76.2771689497717,49.66073059360737,102,74,26
2012,79.57331511839712,51.82149362477231,130,98,43
2013,80.1452054794521,51.36301369863018,118,85,42
2014,81.93287671232872,54.44931506849317,140,99,45
2015,79.89315068493154,53.01415525114154,121,90,40
2016,79.5582877959927,52.08697632058293,113,91,47
2017,79.19954337899536,52.52009132420097,113,89,55
2018,79.86301369863016,52.26164383561642,107,88,53
