years,TMAX,TMIN,t90,t95,t100
1947,48.21390073442313,21.163391376451077,0,0,0
1948,68.90343481654959,36.516339231503146,58,12,0
1949,68.66279082409221,37.373195259839086,38,3,0
1950,71.00426179604261,37.79505327245054,27,2,0
1951,68.5027005870842,37.13956403565993,45,13,0
1952,68.15632860612371,36.06619719836932,43,1,0
1953,69.69062948467058,36.4100543596434,51,13,0
1954,69.54633181126331,37.85786149162862,31,3,0
1955,66.71171993911716,35.94731354642314,13,0,0
1956,68.91776715239831,35.31948998178508,40,5,0
1957,65.67429223744294,37.29913459447709,13,6,0
1958,66.50443139813004,37.168322461404664,32,5,0
1959,65.79633398564904,36.05862361382909,14,0,0
1960,64.85511319281808,36.29053799115275,19,1,0
1961,64.51144814090019,35.75769732550556,14,0,0
1962,65.84536855838223,36.802217873450765,13,0,0
1963,66.44287671232874,37.11344748858448,21,2,0
1964,63.3179156908665,34.892369242779075,7,0,0
1965,63.383039791258966,35.703287671232886,0,0,0
1966,65.35906066536202,35.09145466405743,11,2,0
1967,65.20110893672539,35.34840182648403,5,0,0
1968,63.51437678896696,34.83060109289619,7,0,0
1969,64.83680365296804,36.16223091976516,19,0,0
1970,65.04221787345068,34.92589693411612,15,1,0
1971,64.68248532289628,34.80616438356165,19,3,0
1972,65.93735362997658,36.48711943793909,11,1,0
1973,63.74581865622964,34.733581213307254,14,0,0
1974,65.0461448140901,36.103848662752775,19,3,0
1975,63.34977168949773,34.9372602739726,1,0,0
1976,64.52650273224046,35.18105646630235,1,0,0
1977,65.37652968036532,37.39397260273974,15,0,0
1978,64.88237442922374,37.838812785388164,19,1,0
1979,67.9910502283105,37.600136986301365,53,17,2
1980,71.18579234972677,39.686703096539155,66,35,8
1981,72.05091324200914,40.57694063926941,54,25,6
1982,68.47625570776252,39.72945205479451,39,9,0
1983,69.07031963470318,40.55273972602739,57,6,0
1984,69.18829690346082,40.16347905282332,35,0,0
1985,68.95296803652967,39.21369863013698,43,6,0
1986,68.88972602739726,39.345205479452055,27,1,0
1987,68.2134703196347,37.30525114155252,31,2,0
1988,68.67418032786885,38.10837887067395,27,0,0
1989,71.03812785388128,38.25707762557078,39,9,0
1990,68.99840182648401,38.30570776255708,35,10,4
1991,68.27200913242005,38.42095890410958,20,4,0
1992,67.24499089253182,38.51739526411656,12,3,0
1993,69.01863013698632,39.15050228310505,40,9,0
1994,70.14859752120029,39.93521200260927,62,17,5
1995,71.47084148727986,40.197051532941934,47,18,2
1996,71.41549570647938,40.537756960707775,62,17,0
1997,69.37060665362037,40.5281800391389,49,9,0
1998,69.75189823874757,40.261800391389436,35,6,2
1999,70.11139921722113,39.39129158512719,11,4,0
2000,70.47557138520254,40.95475539942751,64,10,0
2001,70.51544901065454,41.59834964122637,55,2,0
2002,70.96997716894977,41.03663296368776,67,20,2
2003,72.04691237225481,42.01568275712112,64,29,5
2004,69.31938481221272,41.00865751582966,44,5,0
2005,70.10815829528154,42.14749619482497,62,16,0
2006,70.21500968590013,41.90022969420229,40,13,0
2007,70.5102255431023,41.628481389234835,67,26,0
2008,70.67865678644365,40.73339404978753,55,16,0
2009,71.23190090731185,41.4850937950938,54,18,0
2010,71.22695368558378,42.02615786040444,65,22,3
2011,71.30946183953034,41.223828006088276,91,37,0
2012,73.48588234018561,42.50768279989589,89,25,2
2013,70.45808219178083,41.12849315068495,62,20,3
2014,72.13650793650794,42.345609915198935,59,13,1
2015,71.41989019352033,43.12215807784302,60,21,2
2016,72.68189240176947,42.44928983433081,66,36,5
2017,73.82087736464442,43.09298651880845,78,22,4
2018,72.9548803099488,42.53805659333057,86,28,6
